"effective_location.code","instances.title","items.barcode","items.effective_call_number","items.effective_shelving_order","items.item_level_call_number","items.id","items.last_check_in_date_time","items.status_name"
"dmdvd","The angry eye / with Jane Elliott.","31293000000000","BF575.P9 A54 2008 VideoDVD, 1","BF 3575 P9 A54 42008 VIDEODVD 11","BF575.P9 A54 2008 VideoDVD","a3278b00-0157-5561-8695-84399088eedc","","Available"
"dmdvd","Conversation : exploring preconceived notions about otherness.","31293000000000","BF575.P9 C648 2009 VideoDVD, 1","BF 3575 P9 C648 42009 VIDEODVD 11","BF575.P9 C648 2009 VideoDVD","6db21e05-af6a-5b1e-9f14-2d87d075411e","","Available"
"dmsdv","Lessons from The color of fear.","31293000000000","BF575.P9 C719 2008, 1","BF 3575 P9 C719 42008 VIDEODVD 11","BF575.P9 C719 2008","fce70ab2-60c0-5386-bf44-b820cebc8b89","","Available"
"dmdvd","The color of fear / a film by Lee Mun Wah ; produced and directed by Lee Mun Wah ; script collaboration, Lee Mun Wah, Robert Goss Jr., Richard C. Bock ; Stir-Fry Productions.","31293000000000","BF575.P9 C6561 1994 VideoDVD, 1","BF 3575 P9 C6561 41994 VIDEODVD 11","BF575.P9 C6561 1994 VideoDVD","fee623ba-1652-5aaa-b15e-bc18fadb0fcd","","Available"
"dmdvd","The color of fear 2 : walking each other home / a film by Lee Mun Wah ; produced and directed by Lee Mun Wah ; co-producer, Monty Hunter ; Stir Fry Seminars & Consulting.","31293000000000","BF575.P9 C6562 1998 VideoDVD, 1","BF 3575 P9 C6562 41998 VIDEODVD 11","BF575.P9 C6562 1998 VideoDVD","2e99e3cb-7cea-5488-aa75-7fee53dbfe70","","Available"
"dmdvd","The roots of prejudice and intolerance / producer/director: Greg Harpold; writers: Mike Friel, Scott Eubank; editor: Greg Harpold.","31293000000000","BF575.P9 R66 2002a VideoDVD, 1","BF 3575 P9 R66 42002A VIDEODVD 11","BF575.P9 R66 2002a VideoDVD","cb3992c4-d814-504f-9073-c076583f5e95","","Available"
"dmdvd","The brainwashing of my dad / JSenko Productions in association with Cinco Dedos Peliculas presents ; a film by Jen Senko and Matthew Modine.","31293000000000","BF633 .B735 2016 VideoDVD, 1","BF 3633 B735 42016 VIDEODVD 11","BF633 .B735 2016 VideoDVD","f7eb0e6e-90cd-5adc-8e4b-f558a86653c6","","Available"
"dmdvd","Cultural competence in the helping professions / Derald Wing Sue.","31293031402716","BF637.C6 S852 2007 VideoDVD, 1","BF 3637 C6 S852 42007 VIDEODVD 11","BF637.C6 S852 2007 VideoDVD","03472865-f1a9-58b1-8dec-d06ceec67075","","Available"
"dmdvd","The triad training model : five vignettes of culturally different counselors interviewing a single client / [presented by] Paul Pedersen & Jeff Brooks-Harris.","31293000000000","BF637.C6 T673 2005 VideoDVD, 1","BF 3637 C6 T673 42005 VIDEODVD 11","BF637.C6 T673 2005 VideoDVD","d53415af-2dad-557e-9c37-1e4664b34c13","","Available"
"dmdvd","Forgiveness : a time to love & a time to hate / Bullfrog Films presents ; produced and written by Helen Whitney ; produced by Helen Whitney Productions, Clear View Productions Foundation and WETA Washington D.C.","31293000000000","BF637.F67 F673 2011 VideoDVD, 1","BF 3637 F67 F673 42011 VIDEODVD DISCS 11 12 11","BF637.F67 F673 2011 VideoDVD","a363ad42-7ce5-5f72-86ac-7fc60a07b093","","Available"
"dmdvd","Charisma in politics : the body language of politicians / Mona Lisa Production ; director, Pierre-FrancÌ§ois Gaudry ; authors, Thierry Berrod, Pierre-FrancÌ§ois Gaudry, ReneÌ Zayan ; producers, Thierry Berrod, Pierre-FrancÌ§ois Gaudry.","31293000000000","BF637.N66 C3 2009 VideoDVD, 1","BF 3637 N66 C3 42009 VIDEODVD 11","BF637.N66 C3 2009 VideoDVD","a577dea4-71a3-55d8-a7db-22f9e0ecb5f9","","Available"
"dmdvd","Secrets of body language / produced by Granada International, Ltd. ; produced by ITV Productions for History ; written, produced and directed by James Millar.","31293000000000","BF637.N66 S43 2008 VideoDVD, 1","BF 3637 N66 S43 42008 VIDEODVD 11","BF637.N66 S43 2008 VideoDVD","c5369f3d-a239-5176-87ca-5cfdbcba7d59","","Available"
"dmdvd","The night of truth / Les Films du Defi el Acrobates Films preÌsentent en coproduction avec France 3 Cinema ... ; produit par Claire-Agnes Lajoumard et Fanta ReÌgina Nacro.","31293000000000","BF637.R4 N55 2004 PAL VideoDVD, 1","BF 3637 R4 N55 42004 PAL VIDEODVD DVD BOOKLET 11","BF637.R4 N55 2004 PAL VideoDVD","712a0565-36d3-5abb-9cd9-9f715dfc9805","","Available"
"dmsdv","The 8th habit : from effectiveness to greatness / Stephen R. Covey.","31293000000000","BF637.S4 C685 2004, 1","BF 3637 S4 C685 42004 VIDEODVD 11","BF637.S4 C685 2004","cac1ecd4-daa6-5a43-af52-4f3f5235dd43","","Available"
"dmdvd","Black and white / Producer, director, editor, Kirsty MacDonald.","31293000000000","BF692.2 .B58 2006 VideoDVD, 1","BF 3692.2 B58 42006 VIDEODVD 11","BF692.2 .B58 2006 VideoDVD","e23e8684-a3d6-57c3-ba61-0f25193c0b17","","Available"
"dmdvd","Tough guise : violence, media, and the crisis in masculinity / Media Education Foundation ; directed by Sut Jhally ; produced by Susan Ericsson, Sanjay Talreja ; written by Jackson Katz, Jeremy Earp.","31293000000000","BF692.5 .T682 2002 VideoDVD, 1","BF 3692.5 T682 42002 VIDEODVD 11","BF692.5 .T682 2002 VideoDVD","3a81dd39-1a96-583e-aa8b-934ae9cea78f","","Available"
"dmdvd","Tough guise : violence, media, and the crisis in masculinity / executive producer, director, Sut Jhally ; produced by Susan Ericsson, Sanjay Talreja ; written by Jackson Katz, Jeremy Earp.","31293035469786","BF692.5 .T6822 2002 VideoDVD, 1","BF 3692.5 T6822 42002 VIDEODVD 11","BF692.5 .T6822 2002 VideoDVD","037461e7-c218-5ca5-9cd7-b63f18ca881a","","Available"
"dmdvd","Beauty mark : body image & the race for perfection / She-Art Productions in association with Salmon Pictures & The Media Education Foundation ; produced by Carla Precht, Diane Israel ; directed by Carla Precht & Kathleen Man.","31293000000000","BF697.5.B63 B43 2009 VideoDVD, 1","BF 3697.5 B63 B43 42009 VIDEODVD 11","BF697.5.B63 B43 2009 VideoDVD","a56cd709-347a-5b35-803f-e4156949b773","","Available"
"dmdvd","Do I look fat? / Blah Blah Blah presents ; directed by Travis Mathews.","31293000000000","BF697.5.B63 D6 2005 VideoDVD, 1","BF 3697.5 B63 D6 42005 VIDEODVD 11","BF697.5.B63 D6 2005 VideoDVD","f00c6760-00f8-525a-ab92-e4705cf2f683","","Available"
"dmdvd","Embrace / Screen Australia and South Australian Film Corporation presents in association with Transmission Films ; a Southern Light Alliance production ; and Body Image Movement production in association with KOJO ; written and directed by Taryn Brumfitt ; produced by Anna Vincent and Taryn Brumfitt.","31293000000000","BF697.5.B63 E63 2017 Blu-ray Video, 1","BF 3697.5 B63 E63 42017 BLU RAY VIDEO 11","BF697.5.B63 E63 2017 Blu-ray Video","5eedee33-d182-5de8-8cbc-372a611181d5","","Available"
"dmdvd","Never too thin / by Willy Werby and Wendy Werby.","31293000000000","BF697.5.B63 N48 2000 VideoDVD, 1","BF 3697.5 B63 N48 42000 VIDEODVD 11","BF697.5.B63 N48 2000 VideoDVD","5198f64c-8704-528a-a4fc-d410fe32707c","","Available"
"dmdvd","Body image : the quest for perfection / producer, Kelly Briley ; director, Hamid Khani ; Olive Tree Communications.","31293000000000","BF697.5.B63 Q47 2000 VideoDVD, 1","BF 3697.5 B63 Q47 42000 VIDEODVD 11","BF697.5.B63 Q47 2000 VideoDVD","ec574550-4838-5463-85b7-802885d36e19","","Available"
"dmdvd","Slim hopes : advertising and the obsession with thinness / a production of the Media Education Foundation ; written & presented by Jean Kilbourne ; director, Sut Jhally.","31293000000000","BF697.5.B63 S57 2002 VideoDVD, 1","BF 3697.5 B63 S57 42002 VIDEODVD VIDEODVD INSERT 11","BF697.5.B63 S57 2002 VideoDVD","4aaffc1d-e11e-56af-b372-dfed9da85173","","Available"
"dmdvd","Women speak out / produced by Derek Antonio Serra.","31293000000000","BF697.5.B63 W654 2003 VideoDVD, 1","BF 3697.5 B63 W654 42003 VIDEODVD DISCS 11 12 11","BF697.5.B63 W654 2003 VideoDVD","ba413c05-4efd-51db-b66a-e841a6e99c9e","","Available"
"dmdvd","42 up / a Granada Production for BBC ; produced and directed by Michael Apted ; co-producer, Claire Lewis.","31293000000000","BF712 .F677 1999 VideoDVD, 1","BF 3712 F677 41999 VIDEODVD 11","BF712 .F677 1999 VideoDVD","b5de5731-ef89-50f1-ad63-d7c7b8f7a9a9","","Available"
"dmdvd","Killing creativity : are schools or parents to blame / BBC Education & Training ; co-production BBC/The Open University ; directed by Josh Good ; executive producer, Tessa Livingstone ; series producer, Rachel Coughlan.","31293500000000","BF723.C7 K55 2008 VideoDVD, 1","BF 3723 C7 K55 42008 VIDEODVD 11","BF723.C7 K55 2008 VideoDVD","33d40108-5d84-59c9-b40b-ab1743be3b71","","Available"
"dmdvd","Poto and Cabengo / director, Jean-Pierre Gorin ; produced by Zweites Deutsches Fernsehen, Jean-Pierre Gorin.","31293032130068","BF723.C57 P68 2012 VideoDVD, 1","BF 3723 C57 P68 42012 VIDEODVD 11","BF723.C57 P68 2012 VideoDVD","22312acc-f640-5a69-bdd5-9a823e6cde4b","","Available"
"dmdvd","Read my lips : learning language / BBC/Open University co-production ; BBC Active.","31293500000000","BF723.C57 R43 2008 VideoDVD, 1","BF 3723 C57 R43 42008 VIDEODVD 11","BF723.C57 R43 2008 VideoDVD","2f4daeec-4032-5ead-aca0-3a04013e5f77","","Available"
